,transit
0,4920
1,2515
2,5455
3,4208
4,2646
5,4014
6,1956
7,5802
8,4596
9,4111
10,484
11,3178
12,994
13,3681
14,4851
15,5017
16,0
17,1215
18,1683
19,1052
20,1042
21,1411
22,598
23,782
24,4322
25,3025
26,2959
27,3336
28,2789
29,2472
30,2128
31,1637
32,2133
33,2361
34,2408
35,1823
36,1247
37,1400
38,3023
39,3496
40,3410
41,2014
42,3049
43,3309
44,3065
45,3211
46,2016
47,2132
48,4386
49,4955
50,5172
51,4799
52,4463
53,0
54,5011
55,5400
56,3941
57,3806
58,4166
59,4474
60,4227
61,3343
62,3755
63,667
64,3203
65,2316
66,3385
67,3344
68,3747
69,3453
70,4924
71,4619
72,5278
73,5248
74,5083
75,6603
76,5478
77,5724
78,4477
79,3417
80,3814
81,3395
82,3910
83,4957
84,4697
85,4087
86,4924
87,4255
88,4057
89,3735
90,4535
91,5066
92,2711
93,3385
94,5191
95,4297
96,5656
97,0
98,5114
99,2819
100,3096
101,3090
102,3084
103,3464
104,3372
105,3297
106,3452
107,3593
108,2545
109,2260
110,1888
111,2426
112,2129
113,2278
114,1701
115,1869
116,833
117,2059
118,2558
119,2884
120,3573
121,2486
122,3799
123,4289
124,4200
125,5146
126,3605
127,3778
128,5895
129,4890
130,3537
131,3392
132,3210
133,3808
134,2394
135,3529
136,3530
137,3354
138,4992
139,4937
140,2583
141,6238
142,5810
143,6404
144,4510
145,3555
146,3531
147,3453
148,4061
149,4202
150,3800
151,3765
152,4054
153,4381
154,4780
155,5012
156,5063
157,4024
158,4766
159,4976
160,6046
161,5725
162,5424
163,6992
164,4635
165,2858
166,1320
167,978
168,1965
169,3777
170,3704
171,3955
172,1042
173,2034
174,3980
175,4270
176,3881
177,4453
178,3508
179,3993
180,4495
181,4517
182,6470
183,4142
184,5237
185,1932
186,1389
187,3581
188,3146
189,4337
190,2162
191,3297
192,1407
193,1597
194,2102
195,2678
196,3305
197,3222
198,3025
199,3210
200,5526
201,4911
202,5698
203,5522
204,4287
205,5526
206,5010
207,4579
208,4332
209,1210
210,4150
211,4250
212,3182
213,3971
214,7781
215,6229
216,4436
217,3923
218,4360
219,4531
220,4256
221,5074
222,5348
223,5040
224,6293
225,6110
226,4136
227,6919
228,7881
229,7182
230,4666
231,4196
232,4023
233,5052
234,4771
235,4508
236,5142
237,4828
238,4877
239,5544
240,5569
241,5402
242,5509
243,6732
244,8109
245,0
246,4650
247,4277
248,5251
249,5572
250,6262
251,4909
252,4420
253,3399
254,4292
255,2191
256,2105
257,1895
258,3060
259,2960
260,3370
261,3264
262,3044
263,3373
264,4406
265,4779
266,3425
267,3900
268,4631
269,4256
270,4278
271,4604
272,5324
273,4038
274,2248
275,3727
276,3452
277,3373
278,3088
279,3243
280,3246
281,3029
282,3378
283,3414
284,3352
285,2533
286,3786
287,4754
288,4620
289,4079
290,4648
291,4534
292,4432
293,5233
294,5889
295,5108
296,4919
297,5304
298,2443
299,6189
300,4688
301,4948
302,4595
303,4954
304,5619
305,3467
306,3460
307,5237
308,4069
309,5452
310,4255
311,4609
312,4351
313,4125
314,3550
315,3980
316,4363
317,4973
318,3221
319,0
320,4761
321,3853
322,3910
323,5533
324,4035
325,5300
326,5897
327,5683
328,5522
329,5759
330,0
331,0
332,0
333,11119
334,2881
335,4035
336,4440
337,4294
338,3466
339,3663
340,2305
341,2554
342,2693
343,3830
344,1722
345,1289
346,3557
347,2576
348,4761
349,447
350,517
351,545
352,1518
353,2403
354,2845
355,2064
356,2175
357,2101
358,3203
359,2358
360,3656
361,3115
362,3070
363,4264
364,3904
365,3979
366,3948
367,3453
368,3400
369,4131
370,1676
371,2405
372,1231
373,1603
374,2162
375,1261
376,2563
377,2357
378,4392
379,4399
380,5051
381,3095
382,3374
383,4668
384,3508
385,4777
386,5209
387,2809
388,4012
389,4549
390,5286
391,3633
392,4005
393,4284
394,4079
395,3537
396,3213
397,3971
398,4196
399,4609
400,4022
401,4219
402,4094
403,3635
404,3573
405,1888
406,2399
407,2674
408,5447
409,4464
410,5894
411,5325
412,3744
413,3452
414,3694
415,4138
416,0
417,3449
418,5800
419,4408
420,2182
421,2647
422,3063
423,3560
424,0
425,1390
426,4070
427,5180
428,5320
429,4045
430,248
431,1168
432,3136
433,4562
434,4088
435,1915
436,1821
437,5385
438,2635
439,6942
440,787
441,484
442,1514
443,2195
444,3881
445,2052
446,1145
447,2590
448,2728
449,3762
450,4184
451,3840
452,1288
453,1602
454,1943
455,3464
456,4255
457,3453
458,3588
459,4038
460,4964
461,4668
462,3665
463,4011
464,4559
465,3300
466,3484
467,2047
468,2283
469,4582
470,5688
471,4706
472,401
473,2393
474,3899
475,2956
476,2632
477,2061
478,1125
479,3121
480,2079
481,4690
482,4515
483,3543
484,1449
485,240
486,2606
487,1755
488,1481
489,3054
490,3359
491,3002
492,2071
493,2027
494,1801
495,1860
496,3901
497,3255
498,3225
499,5501
500,2723
501,4309
502,6476
503,3184
504,0
505,1831
506,3591
507,3955
508,1443
509,567
510,282
511,757
512,321
513,855
514,1125
515,1149
516,1345
517,1833
518,1587
519,1659
520,2620
521,3043
522,2921
523,2189
524,3644
525,3533
526,2141
527,1426
528,2690
529,2712
530,4279
531,3526
532,2839
533,2878
534,4682
535,4202
536,5173
537,3533
538,4009
539,4833
540,4850
541,4329
542,3792
543,3905
544,3720
545,3412
546,0
547,5319
548,3041
549,4645
550,4427
551,0
552,4861
553,4143
554,0
555,4840
556,0
557,2716
558,1156
559,740
560,1190
561,1287
562,2241
563,2264
564,2792
565,2589
566,1454
567,3340
568,3066
569,2173
570,1707
571,1432
572,3771
573,4875
574,4414
575,3451
576,6090
577,4525
578,4814
579,3643
580,4600
581,4860
582,3744
583,1996
584,4227
585,3892
586,0
587,0
588,3621
589,4167
590,399
591,2804
592,2267
593,3743
594,2773
595,4412
596,4143
597,5081
598,4822
599,5911
600,732
601,2786
602,2160
603,2775
604,1820
605,3524
606,4831
607,4252
608,4967
609,4432
610,3123
611,4425
612,663
613,412
614,1924
615,2781
616,3122
617,4070
618,3335
619,3188
620,4151
621,1687
622,4319
623,1581
624,1037
625,2212
626,4519
627,4827
628,6678
629,2506
630,2975
631,1232
632,692
633,1496
634,2324
635,1856
636,4286
637,4594
638,1324
639,3505
640,2688
641,4032
642,2039
643,3384
644,3216
645,3289
646,4316
647,3220
648,3762
649,3962
650,3864
651,3249
652,6458
653,3134
654,1858
655,1828
656,1986
657,4473
658,4550
659,3782
660,0
661,4112
662,4730
663,2322
664,5699
665,6517
666,5198
667,4738
668,5014
669,0
670,4612
671,5257
672,7006
673,5817
674,1845
675,2339
676,1000
677,1722
678,2079
679,1222
680,2098
681,5909
682,3816
683,2587
684,3573
685,4874
686,4801
687,5484
688,5449
